Datum,BundeslandID,Name,TestungenApotheken,TestungenApothekenPCR,TestungenApothekenAntigen,TestungenBetriebe
2021-05-22,2,Kärnten,290008,NA,290008,126987
2021-05-22,3,Niederösterreich,643551,NA,643551,770316
2021-05-22,4,Oberösterreich,550609,NA,550609,481552
2021-05-22,5,Salzburg,389803,NA,389803,164991
2021-05-22,6,Steiermark,870641,NA,870641,647146
2021-05-22,7,Tirol,472727,NA,472727,109731
2021-05-22,8,Vorarlberg,427684,NA,427684,99977
2021-05-22,9,Wien,1659785,NA,1659785,601369
2021-05-22,10,Österreich,5663423,NA,5663423,3257739
2021-05-23,1,Burgenland,364389,NA,364389,257064
2021-05-23,2,Kärnten,295551,NA,295551,128819
2021-05-23,3,Niederösterreich,656911,NA,656911,777082
2021-05-23,4,Oberösterreich,559448,NA,559448,482949
2021-05-23,5,Salzburg,395381,NA,395381,165675
2021-05-23,6,Steiermark,885158,NA,885158,649310
2021-05-23,7,Tirol,479591,NA,479591,111164
2021-05-23,8,Vorarlberg,438914,NA,438914,100254
2021-05-23,9,Wien,1687138,NA,1687138,604043
2021-05-23,10,Österreich,5762481,NA,5762481,3276360
2021-05-24,1,Burgenland,365958,NA,365958,257500
2021-05-24,2,Kärnten,296270,NA,296270,129235
2021-05-24,3,Niederösterreich,658217,NA,658217,779519
2021-05-24,4,Oberösterreich,560212,NA,560212,483804
2021-05-24,5,Salzburg,395791,NA,395791,166209
2021-05-24,6,Steiermark,886216,NA,886216,650634
2021-05-24,7,Tirol,480468,NA,480468,111837
2021-05-24,8,Vorarlberg,444491,NA,444491,100307
2021-05-24,9,Wien,1689555,NA,1689555,604783
2021-05-24,10,Österreich,5777178,NA,5777178,3283828
2021-05-25,1,Burgenland,367992,NA,367992,258299
2021-05-25,2,Kärnten,297417,NA,297417,130174
2021-05-25,3,Niederösterreich,660463,NA,660463,784323
2021-05-25,4,Oberösterreich,561173,NA,561173,486446
2021-05-25,5,Salzburg,396440,NA,396440,167418
2021-05-25,6,Steiermark,888249,NA,888249,653651
2021-05-25,7,Tirol,481750,NA,481750,112480
2021-05-25,8,Vorarlberg,448890,NA,448890,100586
2021-05-25,9,Wien,1693820,NA,1693820,606802
2021-05-25,10,Österreich,5796194,NA,5796194,3300179
2021-05-26,1,Burgenland,376757,NA,376757,262434
2021-05-26,2,Kärnten,305315,NA,305315,134202
2021-05-26,3,Niederösterreich,678973,NA,678973,804209
2021-05-26,4,Oberösterreich,575037,NA,575037,500544
2021-05-26,5,Salzburg,405317,NA,405317,172243
2021-05-26,6,Steiermark,914401,NA,914401,670658
2021-05-26,7,Tirol,492785,NA,492785,114287
2021-05-26,8,Vorarlberg,456544,NA,456544,102222
2021-05-26,9,Wien,1752953,NA,1752953,622040
2021-05-26,10,Österreich,5958082,NA,5958082,3382839
2021-05-27,1,Burgenland,382813,NA,382813,265589
2021-05-27,2,Kärnten,311478,NA,311478,136528
2021-05-27,3,Niederösterreich,692099,NA,692099,817806
2021-05-27,4,Oberösterreich,584485,NA,584485,507930
2021-05-27,5,Salzburg,411332,NA,411332,175078
2021-05-27,6,Steiermark,934136,NA,934136,680781
2021-05-27,7,Tirol,500560,NA,500560,116476
2021-05-27,8,Vorarlberg,462316,NA,462316,103595
2021-05-27,9,Wien,1799152,NA,1799152,633330
2021-05-27,10,Österreich,6078371,NA,6078371,3438514
