Datum;BundeslandID;Name;BestaetigteFaelleEMS
2021-03-21T08:00:00+01:00;9;Wien;105836
2021-03-21T08:00:00+01:00;10;Österreich;511427
2021-03-22T08:00:00+01:00;1;Burgenland;14550
2021-03-22T08:00:00+01:00;2;Kärnten;32441
2021-03-22T08:00:00+01:00;3;Niederösterreich;85207
2021-03-22T08:00:00+01:00;4;Oberösterreich;94598
2021-03-22T08:00:00+01:00;5;Salzburg;42380
2021-03-22T08:00:00+01:00;6;Steiermark;62742
2021-03-22T08:00:00+01:00;7;Tirol;51226
2021-03-22T08:00:00+01:00;8;Vorarlberg;23974
2021-03-22T08:00:00+01:00;9;Wien;106852
2021-03-22T08:00:00+01:00;10;Österreich;513970
2021-03-23T08:00:00+01:00;1;Burgenland;14731
2021-03-23T08:00:00+01:00;2;Kärnten;32631
2021-03-23T08:00:00+01:00;3;Niederösterreich;85929
2021-03-23T08:00:00+01:00;4;Oberösterreich;95113
2021-03-23T08:00:00+01:00;5;Salzburg;42567
2021-03-23T08:00:00+01:00;6;Steiermark;63087
2021-03-23T08:00:00+01:00;7;Tirol;51439
2021-03-23T08:00:00+01:00;8;Vorarlberg;24044
2021-03-23T08:00:00+01:00;9;Wien;107468
2021-03-23T08:00:00+01:00;10;Österreich;517009
2021-03-24T08:00:00+01:00;1;Burgenland;14877
2021-03-24T08:00:00+01:00;2;Kärnten;32781
2021-03-24T08:00:00+01:00;3;Niederösterreich;86566
2021-03-24T08:00:00+01:00;4;Oberösterreich;95619
2021-03-24T08:00:00+01:00;5;Salzburg;42861
2021-03-24T08:00:00+01:00;6;Steiermark;63480
2021-03-24T08:00:00+01:00;7;Tirol;51705
2021-03-24T08:00:00+01:00;8;Vorarlberg;24123
2021-03-24T08:00:00+01:00;9;Wien;108038
2021-03-24T08:00:00+01:00;10;Österreich;520050
2021-03-25T08:00:00+01:00;1;Burgenland;14998
2021-03-25T08:00:00+01:00;2;Kärnten;32900
2021-03-25T08:00:00+01:00;3;Niederösterreich;87202
2021-03-25T08:00:00+01:00;4;Oberösterreich;96122
2021-03-25T08:00:00+01:00;5;Salzburg;43095
2021-03-25T08:00:00+01:00;6;Steiermark;63709
2021-03-25T08:00:00+01:00;7;Tirol;51987
2021-03-25T08:00:00+01:00;8;Vorarlberg;24184
2021-03-25T08:00:00+01:00;9;Wien;109023
2021-03-25T08:00:00+01:00;10;Österreich;523220
2021-03-26T08:00:00+01:00;1;Burgenland;15170
2021-03-26T08:00:00+01:00;2;Kärnten;33085
2021-03-26T08:00:00+01:00;3;Niederösterreich;88014
2021-03-26T08:00:00+01:00;4;Oberösterreich;96748
2021-03-26T08:00:00+01:00;5;Salzburg;43309
2021-03-26T08:00:00+01:00;6;Steiermark;64196
2021-03-26T08:00:00+01:00;7;Tirol;52306
2021-03-26T08:00:00+01:00;8;Vorarlberg;24259
2021-03-26T08:00:00+01:00;9;Wien;110144
2021-03-26T08:00:00+01:00;10;Österreich;527231
2021-03-27T08:00:00+01:00;1;Burgenland;15293
2021-03-27T08:00:00+01:00;2;Kärnten;33263
2021-03-27T08:00:00+01:00;3;Niederösterreich;88792
2021-03-27T08:00:00+01:00;4;Oberösterreich;97286
2021-03-27T08:00:00+01:00;5;Salzburg;43531
2021-03-27T08:00:00+01:00;6;Steiermark;64499
2021-03-27T08:00:00+01:00;7;Tirol;52621
2021-03-27T08:00:00+01:00;8;Vorarlberg;24361
2021-03-27T08:00:00+01:00;9;Wien;111458
2021-03-27T08:00:00+01:00;10;Österreich;531104
2021-03-28T08:00:00+02:00;1;Burgenland;15364
2021-03-28T08:00:00+02:00;2;Kärnten;33415
2021-03-28T08:00:00+02:00;3;Niederösterreich;89289
2021-03-28T08:00:00+02:00;4;Oberösterreich;97708
2021-03-28T08:00:00+02:00;5;Salzburg;43607
2021-03-28T08:00:00+02:00;6;Steiermark;64772
2021-03-28T08:00:00+02:00;7;Tirol;52862
2021-03-28T08:00:00+02:00;8;Vorarlberg;24421
2021-03-28T08:00:00+02:00;9;Wien;112149
2021-03-28T08:00:00+02:00;10;Österreich;533587
2021-03-29T08:00:00+02:00;1;Burgenland;15461
2021-03-29T08:00:00+02:00;2;Kärnten;33513
2021-03-29T08:00:00+02:00;3;Niederösterreich;89998
2021-03-29T08:00:00+02:00;4;Oberösterreich;98066
2021-03-29T08:00:00+02:00;5;Salzburg;43882
2021-03-29T08:00:00+02:00;6;Steiermark;65244
2021-03-29T08:00:00+02:00;7;Tirol;53105
2021-03-29T08:00:00+02:00;8;Vorarlberg;24485
2021-03-29T08:00:00+02:00;9;Wien;113241
2021-03-29T08:00:00+02:00;10;Österreich;536995
2021-03-30T08:00:00+02:00;1;Burgenland;15603
2021-03-30T08:00:00+02:00;2;Kärnten;33672
2021-03-30T08:00:00+02:00;3;Niederösterreich;90715
2021-03-30T08:00:00+02:00;4;Oberösterreich;98463
2021-03-30T08:00:00+02:00;5;Salzburg;43986
2021-03-30T08:00:00+02:00;6;Steiermark;65508
2021-03-30T08:00:00+02:00;7;Tirol;53357
2021-03-30T08:00:00+02:00;8;Vorarlberg;24548
2021-03-30T08:00:00+02:00;9;Wien;113885
2021-03-30T08:00:00+02:00;10;Österreich;539737
2021-03-31T08:00:00+02:00;1;Burgenland;15687
2021-03-31T08:00:00+02:00;2;Kärnten;33868
2021-03-31T08:00:00+02:00;3;Niederösterreich;91342
2021-03-31T08:00:00+02:00;4;Oberösterreich;99016
2021-03-31T08:00:00+02:00;5;Salzburg;44193
2021-03-31T08:00:00+02:00;6;Steiermark;65789
2021-03-31T08:00:00+02:00;7;Tirol;53639
2021-03-31T08:00:00+02:00;8;Vorarlberg;24616
2021-03-31T08:00:00+02:00;9;Wien;114743
2021-03-31T08:00:00+02:00;10;Österreich;542893
2021-04-01T08:00:00+02:00;1;Burgenland;15798
2021-04-01T08:00:00+02:00;2;Kärnten;34063
